,5,10,15,20,25,30
1,0.28,0.44,0.266666666667,0.31,0.392,0.3
2,0.32,0.44,0.293333333333,0.48,0.528,0.446666666667
3,0.48,0.5,0.56,0.65,0.68,0.646666666667
4,0.72,0.58,0.693333333333,0.69,0.816,0.806666666667
5,0.28,0.68,0.626666666667,0.7,0.784,0.846666666667
6,0.52,0.62,0.92,0.81,0.888,0.953333333333
7,0.64,0.72,0.88,0.93,0.92,0.946666666667
8,0.48,0.68,0.8,0.99,0.976,
9,0.8,0.68,0.973333333333,0.91,0.928,
10,0.68,0.8,0.986666666667,0.95,1.0,
11,0.6,0.86,0.96,0.98,0.992,
12,0.8,0.92,0.96,0.94,1.0,
13,0.64,0.88,0.906666666667,1.0,1.0,
14,0.96,0.86,0.933333333333,0.99,0.976,
