epoch,o2_correct,vocabSize50_s,vocabSize80_s,vocabSize50_t,vocabSize80_t
0,183,0,0,1,1
1,142,1,0,2,1
2,140,1,0,2,1
3,175,2,0,2,1
4,155,3,0,2,1
5,223,6,2,3,1
6,199,7,2,3,1
7,186,11,4,3,1
8,175,12,8,3,1
9,194,14,10,3,1
10,239,15,11,3,1
11,246,20,13,3,1
12,231,21,13,3,1
13,247,24,15,3,1
14,260,25,17,3,1
15,255,25,17,3,1
16,271,25,17,3,1
17,266,28,17,3,1
18,270,30,19,3,1
19,285,32,21,3,1
20,265,34,21,3,1
21,281,34,23,3,1
22,278,34,24,4,1
23,285,35,25,4,1
24,299,36,26,4,1
25,318,36,28,4,1
26,322,36,28,4,1
27,302,36,29,4,1
28,318,36,30,4,1
29,342,36,31,4,1
30,302,36,32,4,1
31,325,36,33,4,1
32,307,36,33,4,1
33,319,36,33,5,1
34,318,36,33,5,1
35,322,36,33,5,1
36,316,36,33,5,1
37,334,36,33,5,1
38,350,36,33,5,1
39,353,36,33,6,1
40,338,36,34,6,1
41,351,36,35,6,1
42,361,36,36,6,1
43,343,36,36,6,1
44,363,36,36,6,1
45,346,36,36,6,1
46,358,36,36,6,1
47,317,36,36,6,1
48,373,36,36,6,1
49,366,36,36,6,1
50,337,36,36,6,1
51,363,36,36,6,1
52,376,36,36,6,1
53,361,36,36,6,1
54,363,36,36,6,1
55,359,36,36,6,1
56,377,36,36,6,1
57,339,36,36,6,1
58,388,36,36,6,1
59,358,36,36,6,1
60,365,36,36,6,1
61,330,36,36,7,1
62,323,36,36,7,1
63,378,36,36,7,1
64,378,36,36,7,1
65,360,36,36,7,1
66,356,36,36,7,1
67,389,36,36,7,1
68,390,36,36,7,1
69,355,36,36,7,1
70,378,36,36,7,1
